name,artists,year,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,explicit
Every Breath You Take,['The Police'],1983,83,253920,0.543,0.82,0.452,0.00294,0.0714,-9.796,0.0348,117.401,0.74,1,1,0
Take on Me,['a-ha'],1985,83,225280,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,0,6,0
Africa,['TOTO'],1982,83,295893,0.257,0.671,0.373,7.95e-05,0.0481,-18.064,0.0323,92.717,0.732,1,9,0
Livin' On A Prayer,['Bon Jovi'],1986,83,249293,0.0778,0.532,0.887,0.000214,0.294,-3.757,0.0335,122.511,0.795,1,0,0
Back In Black,['AC/DC'],1980,82,255493,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386,0.763,1,9,0
Summer Of '69,['Bryan Adams'],1984,81,216053,0.0183,0.508,0.834,0.0,0.0732,-6.205,0.0386,139.131,0.774,1,2,0
Everybody Wants To Rule The World,['Tears For Fears'],1985,81,251489,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067,0.535,1,7,0
Billie Jean,['Michael Jackson'],1982,81,293827,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,117.046,0.847,0,11,0
Sweet Dreams (Are Made of This) - Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",1983,81,216933,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,0.875,0,0,0
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],1987,81,291293,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.814,0.867,1,1,0
You Give Love A Bad Name,['Bon Jovi'],1986,80,222707,0.0663,0.541,0.96,2.25e-06,0.344,-2.947,0.0505,122.803,0.812,0,0,0
I'm Still Standing,['Elton John'],1983,80,183440,0.356,0.504,0.904,0.121,0.14,-6.863,0.179,176.808,0.772,1,6,0
Don't Stop Believin',['Journey'],1981,80,250987,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,118.852,0.514,1,4,0
Free Fallin',['Tom Petty'],1989,79,256000,0.212,0.623,0.449,0.0,0.0613,-13.333,0.0253,84.383,0.572,1,5,0
Wake Me up Before You Go-Go,['Wham!'],1984,79,231333,0.272,0.62,0.574,0.0,0.0607,-11.893,0.0421,81.548,0.9,1,0,0
You Shook Me All Night Long,['AC/DC'],1980,79,210173,0.00287,0.532,0.767,0.000513,0.39,-5.509,0.0574,127.361,0.755,1,7,0
With Or Without You - Remastered,['U2'],1987,79,295516,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,110.171,0.113,1,2,0
Walking On Sunshine,['Katrina & The Waves'],1985,78,238733,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,0.944,1,10,0
Fast Car,['Tracy Chapman'],1988,78,296800,0.313,0.711,0.292,0.0,0.131,-15.523,0.037,103.951,0.194,0,4,0
Jump - 2015 Remaster,['Van Halen'],1984,78,241600,0.171,0.572,0.835,0.000376,0.0702,-6.219,0.0317,129.994,0.796,1,0,0
Break My Stride,['Matthew Wilder'],1983,78,184480,0.195,0.917,0.588,0.0,0.0914,-11.047,0.0607,110.077,0.828,1,10,0
Should I Stay or Should I Go - Remastered,['The Clash'],1982,78,188987,0.079,0.742,0.833,0.0,0.384,-6.463,0.115,113.375,0.816,1,2,0
You Make My Dreams (Come True),['Daryl Hall & John Oates'],1980,78,190627,0.234,0.75,0.501,0.112,0.0467,-12.151,0.0552,167.06,0.902,1,5,0
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],1984,78,304787,0.193,0.477,0.471,1.76e-06,0.131,-10.036,0.0277,81.204,0.423,1,6,0
Could You Be Loved,['Bob Marley & The Wailers'],1980,78,237000,0.36,0.916,0.72,0.00016,0.0958,-8.548,0.1,103.312,0.76,1,0,0
You Can't Hurry Love - 2016 Remaster,['Phil Collins'],1982,77,175747,0.0261,0.62,0.936,0.0,0.0679,-4.593,0.0308,97.527,0.763,1,7,0
Girls Just Want to Have Fun,['Cyndi Lauper'],1983,77,238267,0.22,0.71,0.799,0.000602,0.349,-4.897,0.0328,120.372,0.725,1,6,0
Everywhere - 2017 Remaster,['Fleetwood Mac'],1987,77,226653,0.258,0.73,0.487,0.01,0.0852,-10.991,0.0303,114.965,0.731,1,4,0
Beat It - Single Version,['Michael Jackson'],1982,77,258040,0.0491,0.779,0.867,7.98e-06,0.197,-3.704,0.0457,138.858,0.915,0,3,0
Dancing In the Dark,['Bruce Springsteen'],1984,77,241307,0.0115,0.527,0.942,0.0,0.188,-5.64,0.0366,148.723,0.495,0,1,0
Uptown Girl,['Billy Joel'],1983,77,197707,0.0747,0.701,0.943,0.0,0.601,-2.986,0.0456,128.992,0.791,1,4,0
The Boys Of Summer,['Don Henley'],1984,77,288733,0.501,0.516,0.549,0.00572,0.184,-13.741,0.0373,176.941,0.907,1,6,0
Crazy Train,['Ozzy Osbourne'],1980,77,296200,0.361,0.453,0.906,0.000569,0.26,-4.001,0.115,137.575,0.473,1,9,0
Start Me Up - Remastered,['The Rolling Stones'],1981,77,213067,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,0.971,1,5,0
In The Air Tonight - 2015 Remastered,['Phil Collins'],1981,77,336453,0.551,0.446,0.239,4.1e-06,0.0697,-13.945,0.0316,189.507,0.298,1,0,0
I Still Haven't Found What I'm Looking For,['U2'],1987,76,277477,0.0135,0.564,0.774,0.00191,0.0861,-9.424,0.0368,100.894,0.657,1,1,0
